Sender,Message Content,Category
maharah co.,لفتره محدوده خصم خدمه العماله المنزليه بنظام الاشهر افريقيا,Promotional
stc,اكتشاف عطل فني هاتفكم وتمت معالجته ونعتذر اي خلل قد تسبب فيه سابقا,Telecommunications
stc,نتشرف بخدمتكم ونفيدكم بانه قبول طلبكم ونقوم حاليا بمعالجته وسوف يتم ابلاغكم بتنفيذ طلبكم يرجي انتظار التاكيد قبل استعمال المنتج,Telecommunications
mawarid,طريق سداد ذلك عقد RH,Commercial
alrajhibank,عزيزتنا عميله التميز نهنئكم بعيد الاضحي المبارك وكل عام وانتم بخير,Promotional
900,تقبل منا ومنك الطاعات وكل عام وانت بخير,Promotional
mawarid,عملينا زيارتك الطريق اليك برجاء التجهيز لاستقبال الخدمه,Services
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,عميلتا نشكرك اهتمامك نرجو ان تنال جميع الزيارات القادمه نفس درجه الرضا الموارد نهتم بخدمتك,Services
mawarid,Dear customer thank you for feedback we hope all future visits take same level satisfaction Mawarid Always Cares,Services
mawarid,طريق سداد ذلك عقد RH,Commercial
sigal,الرجاء احضار بطاقه الهويه كرت العائله وبطاقه التامين عند الحضور للموعد,Health
mawarid,طريق سداد ذلك عقد RH,Commercial
sigal,بناء طلبكم الغاء موعدكم عياده تنظيف,Health
alrajhibank,يمكنك الحصول تمويل شخصي اكبر بهامش ربح اقل بسرعه وبكل سهوله بدون رسوم اداريه تطبيق الراجحي موبايل,Promotional
mawarid,طريق سداد ذلك عقد RH,Commercial
smasco,Marhabtain We would like inform you we are nearby do a visit,Services
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
dr.alhabib,بناء طلبكم الغاء موعدكم د غالب الامير,Health
pension,المؤسسه العامه للتقاعد تحذر نشاطات الاستثمار التي تدعي صلتها بالمؤسسه وتهدف لاختلاس اموال المتقاعدين وتؤكد انها تستقبل الاموال لاي غرض وتدعو الجميع لمتابعه اخبارها موقعها الرسمي,Governmental
pension,نسعد بمتابعتكم لاخبار المؤسسه العامه للتقاعد ومنشوراتها حول الخدمات الالكترونيه والحقوق التقاعديه حسابنا توتير pensionsa,Governmental
mawarid,طريق سداد ذلك عقد RH,Commercial
900,عذرا الغاء عمليه شحن الرصيد التي قمت بطلبها مؤخرا السبب تجاوزك للحد الائتماني بعد اتمام عمليه الشحن,Telecommunications
pension,نهنئكم باليوم الوطني التسعون نسال ان يديم بلادنا عزها ومجدها,Promotional
mawarid,طريق سداد ذلك عقد RH,Commercial
awon,عزيزي الهزاع لقد المبلغ الموافقه العقد الخاص بيكم العقد OWN شكرا لاختياركم شركتنا,Commercial
awon,شكرا لاختياركم لقد وقدره حسابكم بخصوص عقد تقديم خدمات بالساعه فاتوره INV OWN العقد OWN,Commercial
966550577828,عليكم السلامه منوره فيكم انا يسعدني اكثر لكن باذن نلتقي قريبا,Personal
saudibanks,تجنب الاستثمارات غير النظاميه التي تعدك بتحقيق ارباح زائفه,Financial
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
awon,عملينا لقد انتهاء العقد OWN لتجديد العقد برجاء الدخول الموقع التطبيق شكرا لاختياركم شركه الدوليه,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
moh,تلبس الكمامه تعقم يدينك تترك مسافه امنه نكون بخير باذن ما دمنا نتقيد بالتعليمات حفظ الجميع وزاره الصحه,Governmental
redtag,خصم السلع الجديده لزيارتك القادمه حتيth Nov الرمز,Promotional
saudibanks,حدث بياناتك البنكيه قنوات البنك الرسميه فقط لتفادي الاحتيال,Financial
900,هلا وصلتنا منك نفس الرساله مرتين ان لم تكن بالخطا اعد ارسالها بعد بضعه دقائق,Telecommunications
900,عذرا لم نتمكن حاليا استكمال طلبك لشحن رصيد اخر يرجي المحاوله لاحقا,Telecommunications
apd,نقدر شعورك نحوهم ويسعدنا وعيك بحقوقهم نحتفل باليوم العالمي للاشخاص ذوي الاعاقه نتفهم نتثقف ونغرد هاشتاق اليوم_العالمي_للاشخاص_ذوي_الاعاقه هيئه رعايه الاشخاص ذوي الاعاقه,Governmental
redtag,خصم السلع الجديده لزيارتك القادمه حتيth Dec الرمز,Promotional
stcpay,عزيزنا العميل تشارك هذا الرمز اي شخص لن يتم سؤالك قبل موظفين pay الرمز الخاص بك لانك مسؤول جميع العمليات المنفذه,Financial
mystc,كلمه المرور الجديده mystc هي تذكر ان موظف لن يطلب منك كلمه مرورك اطلاقا كما يرجي عدم افشائها لاي شخص وخصوصا يدعي بانك قد ربحت بجائزه Please remember that employee will never ask you for a password Please Do NOT give out password anyone especially those who claim that you won a prize,Telecommunications
mystc,كلمه المرور الجديده mystc هي تذكر ان موظف لن يطلب منك كلمه مرورك اطلاقا كما يرجي عدم افشائها لاي شخص وخصوصا يدعي بانك قد ربحت بجائزه Please remember that employee will never ask you for a password Please Do NOT give out password anyone especially those who claim that you won a prize,Telecommunications
mawarid,زيارتك بالطريق اليك نرجو التجهيز لاستقبال الخادمه فتره الانتظار دقائق التاخر استلامها يحول دون خدمتكم,Services
mawarid,عميلتا نشكرك اهتمامك نتعهد لكم بتلافي اي مشاكل الزياره القادمه الموارد نهتم بخدمتك,Services
mawarid,Dear Customer thank you for interest we promise do our best avoid any problem next visits Mawarid Always Cares,Services
mawarid,طريق سداد ذلك عقد RH,Commercial
pension,عطاؤكم_لاينسي تقديرا لمسيره عطاء المتقاعدين نقدم لهم برنامج تقدير تابعونا توتير taqdeerppa,Governmental
mawarid,طريق VISA Internet ذلك عقد RH,Commercial
900,مساء الخير لقد تمت اعاده تفعيل رقمك بنجاح للتاكد تقديم الخدمه بشكل افضل نرجو اعاده تشغيل الجوال مره اخري نرجو ان تحوز خدماتنا رضائكم,Telecommunications
dr.alhabib,بناء طلبكم الغاء موعدكم د امل الشماسي,Health
moe,تذكر عزيزي الطالب ه لن يطلب منك الدعم الفني وزاره التعليم قائد المدرسه كلمه المرور لانها خاصه بك فقط Dear student Remember not share password with anyone including school technical support staff school principals,Governmental
riva online,ارسال الاسترجاع البنك وسيتم ايداعه بحسابكم ايام,Stores
dr.alhabib,الاعزاء المراجعين والزوار تحميل تطبيق توكلنا ابراز ما يثبت الحاله الصحيه للمراجع شرط احترازي الزامي للدخول المستشفي حسب تعليمات وزاره الصحه وذلك ضمن الاجراءات الاحترازيه للمساهمه الحد انتشار فايروس كورونا,Health
dr.alhabib,توصي جمعيه السرطان الامريكيه السيدات باجراء فحص الماموجرام مره الاقل كل سنه اللاتي شفاؤهن هذا المرض اكتشافه لديهن مبكرا,Health
moe,عزيزي ولي الامر كن بالقرب اطفالك عند استخدامهم الالعاب الالكترونيه واختر الالعاب المناسبه لاعمارهم لحمايتهم المخاطر المحتمله مثل تعلم السلوك العدواني والتعرض للمحتوي غير الاخلاقي والوقوع ضحيه للجرائم الالكترونيه Dear valued parents Always monitor children while playing electronic games choose games suitable for them Possible risks careless chocies may result reinforcing violence behaviour exposure immoral content or becoming victoms cypercrime,Governmental
moe,عزيزي الطالب الطالبه انتبه الالعاب الالكترونيه التي تتطلب المحادثات النصيه والمرئيه ومشاركه الملفات لحمايه خصوصيتك وخصوصيه عائلتك Dear student To protect you family s privacy be careful online games that requires instant messaging video calls file sharing,Governmental
moh,مستقبلك يبدا بالتزامك ويقرر مصير حياتك كن سند_لهم لنتجاوز ازمه كورونا باذن وزاره الصحه Your future begins with commitment which determines fate life Be supportive_for_them so we can overcome Corona crisis together MOH,Governmental
hrsd,تدعي بعض المواقع والمدونات الالكترونيه ضروره تزويدهم ببياناتك الشخصيه للحصول عمل فكن واعيا ولا تفصح هذه البيانات ما لم يكن ذلك بطريقه نظاميه وفي منصه رسميه معتمده الدوله حتي يتم استغلال بياناتك اغراض اخري,Governmental
moe,عزيزي الطالب الطالبه ابلغ المعلم المعلمه مباشره حال اشتباهك باي سلوك مريب اثناء الدرس مثل دخول اشخاص خارج الفصل نشر محتوي غير مناسب Dear student Inform teacher immediately when you notice suspicious behavior during online lesson such as an unknown person entering classroom or publishing inappropriate content,Governmental
civildef,تحت شعار يد تبني ويد تحمي تحتفل المديريه العامه للدفاع المدني باليوم العالمي للدفاع المدني الاول مارس لهذا العام وتتمني لكم السلامه دائما,Governmental
mawarid,شكوي تحت CASE الموارد تهتم بخدمتك,Commercial
mawarid,انفاذا لتعليمات الجهات المختصه الرجاء الالتزام وتحميل تطبيق توكلنا قبل تنفيذ زياراتكم خدمه همه بنظام الساعه لسلامه الجميع نتعاون ما نتهاون,Services
dr.alhabib,شكرا لاختياركم مستشفي الدكتور سليمان الحبيب بالريان نفيدكم علما بان خدمتكم عياده الاسنان قد تمت الموافقه عليها قبل شركه التامين,Health
moh,تقل الحالات ويزداد التعافي عندما نلتزم جميعا بالاحترازات الوقائيه التي تساعدنا تجاوز الوباء باذن وزاره الصحه Infection cases decrease recovery cases increase When we all adhere preventive measures that help us overcome this epidemic MOH,Governmental
moe,عزيزي الطالب الطالبه حافظ معلوماتك الشخصيه مثل اسمك ومعلومات عائلتك ورقم الجوال وعنوان بيتك ولا تشاركها الا الجهات الموثوقه وبعد استشاره الوالدين تثق بهم افراد اسرتك Dear student Protect personal information such as name family s information mobile number location Share information only with trusted entities after consulting parents trusted family members,Governmental
900,صباح الخير لقد تمت اعاده تفعيل رقمك بنجاح للتاكد تقديم الخدمه بشكل افضل نرجو اعاده تشغيل الجوال مره اخري نرجو ان تحوز خدماتنا رضائكم,Telecommunications
900,عذرا يوجد عروض خاصه لرقمك حاليا حاول مره اخري لاحقا قد يتم اضافه عروض خاصه بك اي وقت لمعرفه العروض المفعله لديك حاليا,Telecommunications
900,مرحبا يوجد عرض مفعل لديك حاليا لمعرفه جميع العروض الخاصه بك,Telecommunications
mawarid,طريق سداد ذلك عقد RH,Commercial
moe,عزيزي المعلم وولي الامر التنمر الالكتروني مشكله تواجه طلابنا وطالباتنا لذا تحدث معهم التنمر الالكتروني واشكاله وكيفيه التصدي له وحثهم الابلاغ اي حاله تنمر يتعرضون لها Dear teachers parents Cyberbullying is a major problem facing our students Educate students about its types how respond it urge them report any cyberbullying incidents that they may get exposed,Governmental
redtag,خصم السلع الغير مخفضه حتيth Mar الرمز T C,Promotional
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,طريق سداد ذلك عقد RH,Commercial
mewa,البيئه_لنا_ولاجيالنا وزاره البيئه والمياه والزراعه,Governmental
mawarid,نعتذر منكم عدم اتمام زياراتكم غدا لظروف خارجه ارادتنا وسيتم التواصل معكم قريبا لاعاده جدولتها,Services
tamkeenhr,شكرا لاختياركم لقد وقدره حسابكم بخصوص عقد تقديم خدمات بالساعه فاتوره HS العقد HRQ,Commercial
mawarid,شكوي تحت CASE الموارد تهتم بخدمتك,Commercial
mawarid,شكوي تحت CASE الموارد تهتم بخدمتك,Commercial
mawarid,شكوي تحت CASE الموارد تهتم بخدمتك,Commercial
mawarid,عزيزنا العميل نعتذر عدم تمكننا تنفيذ الزياره الخاصه بكم وتم تعويضها لاخر العقد كما يمكنك تعديل تاريخها التطبيق باختيار جدوله,Services
mawarid,عزيزي العميل اقفال الشكوي,Commercial
tamkeenhr,شكرا لاختياركم لقد وقدره حسابكم بخصوص عقد تقديم خدمات بالساعه فاتوره HS العقد HRQ,Commercial
tamkeenhr,شكرا لاختياركم لقد وقدره حسابكم بخصوص عقد تقديم خدمات بالساعه فاتوره HS العقد HRQ,Commercial
alrajhibank,عزيزتنا عميله التميز نهنئكم بحلول شهر رمضان المبارك وكل عام وانتم بخير,Financial
5149,اشتراكك بالتبرع اليومي بمبلغ لصالح جمعيه البر الخيريه بمحافظه عنيزه للالغاء غ وللتبرع ب شهريا وللتبرع لمره واحده بمبلغ رساله فارغه,Promotional
jood,نشكر لك تبرعك تقبل منكم نتشرف بتكرار زيارتكم جمعيه البر الخيريه بمحافظه طبرجل,Commercial
900,مساء الخير نود فقط ابلاغك بانك استنفذت كميه الدقائق المجانيه داخل الشبكه المتاحه باقتك بامكانك معرفه الدقائق المتبقيه تطبيق mystc,Telecommunications
alrajhibank,عزيزتنا عميله التميز لتفادي عمليات الاحتيال تشاركي معلوماتك الشخصيه والمصرفيه موظف المصرف لن يطلب منك الافصاح معلوماتك بياناتك البنكيه الرسائل النصيه مكالمه هاتفيه كرقم بطاقه الصراف الرقم السري للبطاقه الحساب الرمز المرسل لجوالك,Financial
900,مساء الخير نود فقط ابلاغك بانك استنفذت كامل الدقائق المجانيه داخل الشبكه المتاحه باقتك سيتم احتساب المكالمات بحسب التعرفه المحليه هلله للدقيقه,Telecommunications
tamkeenhr,شكرا لاختياركم لقد وقدره حسابكم بخصوص عقد تقديم خدمات بالساعه فاتوره HS العقد HRQ,Commercial
moia,اخي المصلي يزداد خطر الاصابه بفيروس كورونا الاماكن المزدحمه فتوجه المساجد غير المكتظه,Governmental
mawarid,طريق سداد ذلك عقد RH,Commercial
edialouguec,مرحبا استلمنا طلبك لاستعاده كلمه المرور برجاء استخدام الكود لاعاده تعيين كلمه المرور اجرك ينتظرك بوابه العطاء ركن الحوار,Governmental
edialouguec,اللهم اعط منفقا خلفا تقبل منك واخلفك خيرا وقتك ومالك ننتظر عودتك قريبا بوابه العطاء ركن الحوار,Governmental
alrajhibank,عزيزتنا عميله التميز نهنئكم بعيد الفطر المبارك تقبل صيامكم وصالح اعمالكم وكل عام وانتم بخير,Financial
900,تقبل منا ومنك الطاعات عيدك مبارك,Promotional
spha,كل عام وانتم بخير نحرص جميعا تطبيق التباعد وتجنب التجمعات الكبيره لبس الكمامه تعقيم اليدين ترك مسافه امنه بينك وبين الاخرين هيئه الصحه العامه وقايه,Governmental
mawarid,طريق سداد ذلك عقد RH,Commercial
mawarid,الضحك عميلتا نشكرك اهتمامك نرجو ان تنال جميع الزيارات القادمه نفس درجه الرضا الموارد نهتم بخدمتك,Services
mawarid,طريق سداد ذلك عقد RH,Commercial
tawakkalna,تبرعك ينقذ حياه سجل تبرعك لمبادره ومن_احياها للتبرع بالاعضاء تطبيق توكلنا ومن احياها فكانما احيا الناس جميعا,Governmental
ikea sa,مرحبا,Stores
mawarid,طريق سداد ذلك عقد RH,Commercial
shipa,Your simsimbuy order has been delivered Thank you for using Shipa Delivery,Stores
mawarid,طريق سداد ذلك عقد RH,Commercial
moh,عزيزنا المستفيد لانك اولويه انت مؤهل للحصول الجرعه الثانيه حسب الفئه العمريه عام هجري فما فوق نرجو منك حجز موعد باستخدام تطبيقي صحتي الصحه تتمني لك السلامه Dear customer Because you are a priority you are now eligible for second dose based on age group Hijri years above Please book appointment through Sehhaty App MoH wishes you well,Governmental
alrajhicptl,عزيزي العميل نفيدكم بانه تحديث بيانات نموذج معرفه العميل,Financial
moi.gov.sa,الخدمات الالكترونيه لـ وزاره العدل ادخل الرمز,Governmental
hrsd,اخي المواطن والمقيم يرتبط كثير المتسولين بشبكات وعصابات منظمه وجماعات مشبوهه فلا تكن شريكا لهم,Governmental
alrajhicptl,عزيزنا العميل شكرا للتسجيل التداول الالكتروني اسم المستخدم الخاص بكم هو,Financial
900,عذرا لم استطع تحديد ما تبحث عنه يرجي ارسال كلمه مساعده للحصول القائمه الرئيسيه,Telecommunications
alrajhibank,تاهل للفوز بقيمه مشترياتك واسترداد نقدي حتي للعمليات الدوليه باستخدام البطاقه الائتمانيه ومسبقه الدفع العرض حتي قم بزياره الموقع تطبق الشروط والاحكام,Financial
takaful.sa,نشكر لك تبرعك تقبل منكم جمعيه تكافل الخيريه لرعايه الايتام بالمدينه المنوره,Commercial
900,صباح الخير نود فقط ابلاغك بانك استنفذت كميه الدقائق المجانيه داخل الشبكه المتاحه باقتك بامكانك معرفه الدقائق المتبقيه تطبيق mystc,Telecommunications
aramex,Your aramex activation key is if you did not register please ignore this message,Stores
mawarid,طريق سداد ذلك عقد RH,Commercial
900,عيدك مبارك وكل عام وانت بخير,Promotional
alrajhibank,عزيزتنا نهنئكم بعيد الاضحي المبارك وكل عام وانتم بخير,Promotional
801641,You have been successfully unsubscribed from service Playtournament,Services
5149,عزيزي العميل لقد الغاء اشتراكك بنجاح قناه التبرع اليومي وللتبرع ب شهريا وللتبرع لمره واحده رساله فارغه,Promotional
