Sender,Message Content,Category
maharah co.,لفتره محدوده خصم 10 علي خدمه العماله المنزليه بنظام الاشهر من افريقيا,Promotional
stc,عميلنا العزيز تم اكتشاف عطل فني علي هاتفكم رقم112491449 وتمت معالجته ونعتذر عن اي خلل قد تسبب فيه سابقا,Telecommunications
stc,عميلنا العزيز نتشرف بخدمتكم ونفيدكم بانه تم قبول طلبكم 1 1277972675020 ونقوم حاليا بمعالجته وسوف يتم ابلاغكم بتنفيذ طلبكم يرجي انتظار التاكيد من stc قبل استعمال المنتج,Telecommunications
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0259738,Commercial
alrajhibank,عزيزتنا عميله التميز نهنئكم بعيد الاضحي المبارك وكل عام وانتم بخير,Promotional
900,تقبل الله منا ومنك الطاعات زينب وكل عام وانت بخير,Promotional
mawarid,عملينا العزيز زيارتك في الطريق اليك الان برجاء التجهيز لاستقبال الخدمه,Services
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0265231,Commercial
mawarid,عميلتا العزيز نشكرك علي اهتمامك و نرجو ان تنال جميع الزيارات القادمه علي نفس درجه من الرضا الموارد نهتم بخدمتك,Services
mawarid,Dear customer thank you for your feedback and we hope the all future visits take the same level of satisfaction Mawarid Always Cares,Services
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0268793,Commercial
sigal,الرجاء احضار بطاقه الهويه كرت العائله وبطاقه التامين عند الحضور للموعد,Health
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0270941,Commercial
sigal,بناء علي طلبكم تم الغاء موعدكم مع عياده تنظيف 104,Health
alrajhibank,الان يمكنك الحصول علي تمويل شخصي اكبر بهامش ربح اقل بسرعه وبكل سهوله بدون رسوم اداريه عبر تطبيق الراجحي موبايل,Promotional
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0278017,Commercial
smasco,Marhabtain We would like to inform you we are nearby to do a visit,Services
mawarid,عميلنا العزيز تم استلام مبلغ 92 00 عن طريق سداد و ذلك علي عقد رقم RH0284013,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0284032,Commercial
dr.alhabib,بناء علي طلبكم تم الغاء موعدكم مع د غالب الامير,Health
pension,المؤسسه العامه للتقاعد تحذر من نشاطات الاستثمار التي تدعي صلتها بالمؤسسه وتهدف لاختلاس اموال المتقاعدين وتؤكد انها لا تستقبل الاموال لاي غرض وتدعو الجميع لمتابعه اخبارها من خلال موقعها الرسمي,Governmental
pension,نسعد بمتابعتكم لاخبار المؤسسه العامه للتقاعد ومنشوراتها حول الخدمات الالكترونيه والحقوق التقاعديه عبر حسابنا علي توتير pensionsa,Governmental
mawarid,عميلنا العزيز تم استلام مبلغ 103 50 عن طريق سداد و ذلك علي عقد رقم RH0300735,Commercial
900,عذرا زينب تم الغاء عمليه شحن الرصيد التي قمت بطلبها مؤخرا السبب تجاوزك للحد الائتماني بعد اتمام عمليه الشحن,Telecommunications
pension,نهنئكم باليوم الوطني التسعون نسال الله ان يديم علي بلادنا عزها ومجدها,Promotional
mawarid,عميلنا العزيز تم استلام مبلغ 90 00 عن طريق سداد و ذلك علي عقد رقم RH0320200,Commercial
awon,عزيزي زينب الهزاع لقد تم استلام المبلغ 464 60 و الموافقه علي العقد الخاص بيكم رقم العقد OWN0040273 شكرا لاختياركم شركتنا,Commercial
awon,شكرا لاختياركم لقد تم استلام مبلغ وقدره 464 60 في حسابكم بخصوص عقد تقديم خدمات بالساعه رقم فاتوره INV OWN 0031022 رقم العقد OWN0040273,Commercial
966550577828,و عليكم السلامه منوره فيكم و انا يسعدني اكثر لكن باذن الله نلتقي قريبا,Personal
saudibanks,تجنب الاستثمارات غير النظاميه التي تعدك بتحقيق ارباح زائفه,Financial
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0357332,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 115 00 عن طريق سداد و ذلك علي عقد رقم RH0360924,Commercial
awon,عملينا العزيز لقد تم انتهاء العقد رقم OWN0040273 لتجديد العقد برجاء الدخول الي الموقع او التطبيق شكرا لاختياركم شركه الدوليه,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 103 50 عن طريق سداد و ذلك علي عقد رقم RH0363870,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 103 50 عن طريق سداد و ذلك علي عقد رقم RH0368998,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0369023,Commercial
mawarid,عميلنا العزيز تم استلام مبلغ 828 00 عن طريق سداد و ذلك علي عقد رقم RH0372166,Commercial
moh,تلبس الكمامه تعقم يدينك تترك مسافه امنه نكون بخير باذن الله ما دمنا نتقيد بالتعليمات حفظ الله الجميع وزاره الصحه,Governmental
redtag,٢٥ خصم علي السلع الجديده لزيارتك القادمه حتي18th Nov 2020 الرمز295796145,Promotional
