Sender,Message Content,Category
maharah co.,"لفترة محدودة خصم 10%
على خدمة العمالة المنزلية بنظام الأشهر
من أفريقيا",Promotional
stc,"عميلنا العزيز 
تم اكتشاف عطل فني على هاتفكم رقم112491449.وتمت معالجته ونعتذر عن أي خلل قد تسبب فيه سابقا",Telecommunications
stc,"عميلنا العزيز ..
نتشرف بخدمتكم، ونفيدكم بأنه تم قبول طلبكم 1-1277972675020 ونقوم حاليًا بمعالجته، وسوف يتم إبلاغكم بتنفيذ طلبكم. يرجى انتظار التأكيد من  stc  قبل استعمال المنتج",Telecommunications
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  109.25 عن طريق سداد و ذلك علي عقد رقم RH0259738",Commercial
alrajhibank,عزيزتنا عميلة التميز، نهنئكم بعيد الأضحى المبارك وكل عام وأنتم بخير,Promotional
900,"تقبّل الله منا ومنك الطاعات زينب 🤲🏻
وكل عام وأنت بخير 💐",Promotional
mawarid,عملينا العزيز زيارتك في الطريق إليك الأن برجاء التجهيز لإستقبال الخدمة,Services
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  118.45 عن طريق سداد و ذلك علي عقد رقم RH0265231",Commercial
mawarid,عميلتا العزيز نشكرك علي اهتمامك و نرجو ان تنال جميع الزيارات القادمة علي نفس درجة من الرضا                                  الموارد نهتم بخدمتك ,Services
mawarid,"Dear customer thank you for your feedback and we hope the all future visits take the same level of satisfaction                           Mawarid, Always Cares ",Services
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  118.45 عن طريق سداد و ذلك علي عقد رقم RH0268793",Commercial
sigal,الرجاء إحضار بطاقة الهوية/كرت العائلة وبطاقة التأمين عند الحضور للموعد,Health
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  109.25 عن طريق سداد و ذلك علي عقد رقم RH0270941",Commercial
sigal,بناء على طلبكم تم إلغاء موعدكم مع عيادة تنظيف 104,Health
alrajhibank,الان، يمكنك الحصول على تمويل شخصي أكبر بهامش ربح أقل بسرعة وبكل سهولة بدون رسوم اداريه عبر تطبيق الراجحي موبايل,Promotional
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  118.45 عن طريق سداد و ذلك علي عقد رقم RH0278017",Commercial
smasco,"""Marhabtain, We would like to inform you we are nearby to do a visit.""",Services
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  92.00 عن طريق سداد و ذلك علي عقد رقم RH0284013",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  109.25 عن طريق سداد و ذلك علي عقد رقم RH0284032",Commercial
dr.alhabib,بناء على طلبكم تم إلغاء موعدكم مع د.غالب الأمير.,Health
pension,المؤسسة العامة للتقاعد تحذر من نشاطات الاستثمار التي تدّعي صلتها بالمؤسسة، وتهدف لاختلاس أموال المتقاعدين وتؤكد أنها لا تستقبل الأموال لأي غرض وتدعو الجميع لمتابعة أخبارها من خلال موقعها الرسمي,Governmental
pension,نسعد بمتابعتكم لأخبار المؤسسة العامة للتقاعد ومنشوراتها حول الخدمات الإلكترونية والحقوق التقاعدية عبر حسابنا على توتير pensionsa@,Governmental
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  103.50 عن طريق سداد و ذلك علي عقد رقم RH0300735",Commercial
900,"عذراً زينب
تم إلغاء عملية شحن الرصيد التي قمت بطلبها مؤخراً.

السبب:
تجاوزك للحد الإئتماني بعد إتمام عملية الشحن.",Telecommunications
pension,نهنئكم باليوم الوطني التسعون نسأل الله أن يديم على بلادنا عزها ومجدها.,Promotional
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  90.00 عن طريق سداد و ذلك علي عقد رقم RH0320200",Commercial
awon,"عزيزى /  زينب الهزاع 
لقد تم استلام المبلغ  464.60  
و  الموافقه  على العقد الخاص بيكم 
رقم العقد : OWN0040273 

شكرا لاختياركم شركتنا",Commercial
awon,"شكرا لاختياركم لقد تم استلام مبلغ وقدره 464.60  في حسابكم بخصوص
 عقد تقديم خدمات بالساعة رقم فاتورة INV-OWN-0031022  رقم العقد OWN0040273",Commercial
966550577828,"و عليكم السلامة
منورة فيكم و انا يسعدني اكثر
لكن بإذن الله نلتقي قريباً",Personal
saudibanks,تجنب الاستثمارات غير النظامية التي تعدك بتحقيق أرباح زائفة,Financial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  109.25 عن طريق سداد و ذلك علي عقد رقم RH0357332",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  115.00 عن طريق سداد و ذلك علي عقد رقم RH0360924",Commercial
awon,عملينا العزيز لقد تم انتهاء العقد رقم OWN0040273 لتجديد العقد برجاء الدخول الى الموقع او التطبيق .. شكراً لإختياركم شركة الدولية,Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  103.50 عن طريق سداد و ذلك علي عقد رقم RH0363870",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  103.50 عن طريق سداد و ذلك علي عقد رقم RH0368998",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  109.25 عن طريق سداد و ذلك علي عقد رقم RH0369023",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  828.00 عن طريق سداد و ذلك علي عقد رقم RH0372166",Commercial
moh,"تلبس الكمامة ؟
تعقم يدينك ؟
تترك مسافة آمنة ؟
نكون بخير-بإذن الله- ما دمنا نتقيّد بالتعليمات.
حفظ الله الجميع.
-وزارة الصحة-",Governmental
redtag,"٢٥٪خصم على السلع الجديدة  لزيارتك القادمة حتى18th Nov, 2020. الرمز295796145",Promotional
saudibanks,حدث بياناتك البنكية من خلال قنوات البنك الرسمية فقط لتفادي الاحتيال,Financial
900,"هلا زينب ..
وصلتنا منك نفس الرسالة مرتين!
إن لم تكن بالخطأ أعد إرسالها بعد بضعة دقائق.",Telecommunications
900,"عذراً زينب
لم نتمكن حالياً من إستكمال طلبك لشحن رصيد رقم آخر.
يرجى المحاولة لاحقاً ..",Telecommunications
apd,"نقدر شعورك نحوهم، ويسعدنا وعيك بحقوقهم.
نحتفل باليوم العالمي للأشخاص ذوي الإعاقة 
نتفهم، نتثقف، ونغرد في هاشتاق 
#اليوم_العالمي_للاشخاص_ذوي_الإعاقة
هيئة رعاية الأشخاص ذوي الإعاقة",Governmental
redtag,"٢٥٪خصم على السلع الجديدة  لزيارتك القادمة حتى11th Dec, 2020. الرمز447825052",Promotional
stcpay,"عزيزنا العميل
لا تشارك هذا الرمز مع أي شخص،
لن يتم سؤالك من قبل موظفين stc pay عن الرمز الخاص بك
لأنك مسؤول عن جميع العمليات المنفذة .
",Financial
mystc,"كلمة المرور الجديدة في mystc هي: 

تذكر أن موظف stc لن يطلب منك كلمة مرورك إطلاقاً، كما يرجى عدم إفشائها لأي شخص وخصوصا من يدّعي بأنك قد ربحت بجائزة. 


Please remember that stc employee will never ask you for a password.
Please Do NOT give out your password to anyone especially to those who claim that you won a prize!!",Telecommunications
mystc,"كلمة المرور الجديدة في mystc هي: 


تذكر أن موظف stc لن يطلب منك كلمة مرورك إطلاقاً، كما يرجى عدم إفشائها لأي شخص وخصوصا من يدّعي بأنك قد ربحت بجائزة. 


Please remember that stc employee will never ask you for a password.
Please Do NOT give out your password to anyone especially to those who claim that you won a prize!!",Telecommunications
mawarid,"عميلنا العزيز زيارتك بالطريق اليك الان, نرجو التجهيز لاستقبال الخادمة, فترة الانتظار من 5 الى 10 دقائق.التأخر عن استلامها يحول دون خدمتكم",Services
mawarid,عميلتا العزيز نشكرك علي اهتمامك و نتعهد لكم بتلافي اي مشاكل خلال الزيارة القادمة                الموارد نهتم بخدمتك  ,Services
mawarid,"Dear Customer thank you for your interest and we promise to do our best to avoid any problem in the next visits                        Mawarid, Always Cares ",Services
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  805.00 عن طريق سداد و ذلك علي عقد رقم RH0446549",Commercial
pension,#عطاؤكم_لاينسى .. تقديراً لمسيرة و عطاء المتقاعدين نقدم لهم برنامج تقدير تابعونا على توتير taqdeerppa@,Governmental
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  97.75 عن طريق VISA Internet و ذلك علي عقد رقم RH0465835",Commercial
900,"مساء الخير زينب

لقد تمت إعادة تفعيل رقمك بنجاح. 
 
للتأكد من تقديم الخدمة بشكل أفضل، نرجو إعادة تشغيل الجوال مرة أخرى. 
 
نرجو أن تحوز خدماتنا على رضائكم. ",Telecommunications
dr.alhabib,بناء على طلبكم تم إلغاء موعدكم مع د. امل الشماسي.,Health
moe,"تذكر عزيزي الطالب/ة:
لن يطلب منك الدعم الفني في وزارة التعليم أو قائد المدرسة كلمة المرور لأنها خاصة بك فقط.

Dear student,
Remember not to share your password with anyone including; school technical support, staff, and school principals",Governmental
riva online,تم إرسال مبلغ الإسترجاع 3400119972إلى البنك وسيتم ايداعه بحسابكم من 5 الى 7 ايام,Stores
dr.alhabib,"الأعزاء المراجعين والزوار
تحميل تطبيق توكلنا و إبراز ما يثبت الحالة الصحية للمراجع شرط إحترازي إلزامي للدخول إلى المستشفى حسب تعليمات وزارة الصحة، وذلك ضمن الإجراءات الإحترازية للمساهمة في الحد من إنتشار فايروس كورونا",Health
dr.alhabib,"توصي جمعية السرطان الأمريكية السيدات بإجراء فحص الماموجرام مرة على الأقل كل سنة. 99% من اللاتي تم شفاؤهن من هذا المرض, تم اكتشافه لديهن مبكرا",Health
moe,"عزيزي ولي الأمر,كن بالقرب من أطفالك عند استخدامهم الألعاب الإلكترونية  واختر الألعاب المناسبة لأعمارهم لحمايتهم من المخاطر المحتملة مثل تعلم السلوك العدواني والتعرض للمحتوى غير الأخلاقي والوقوع ضحية للجرائم الإلكترونية.

Dear valued parents,
Always monitor your children while playing electronic games ; choose games suitable for them . Possible risks of careless chocies may result in  reinforcing   violence behaviour,exposure to immoral content , or becoming victoms of cypercrime .",Governmental
moe,"عزيزي الطالب/الطالبة
انتبه من الألعاب الإلكترونية التي تتطلب المحادثات النصية والمرئية ومشاركة الملفات لحماية خصوصيتك وخصوصية عائلتك.

Dear student
To protect you and your family’s privacy, be careful of online games that requires instant messaging, video calls, and file sharing.",Governmental
moh,"مستقبلك يبدأ بالتزامك، ويُقرّر مصير حياتك.. 
كن #سند_لهم لنتجاوز أزمة كورونا -بإذن الله.
وزارة الصحة
Your future begins with your commitment which determines the fate of your life.
Be #supportive_for_them so we can overcome the Corona crisis together.
- MOH",Governmental
hrsd,تدعي بعض المواقع والمدونات الإلكترونية ضرورة تزويدهم ببياناتك الشخصية للحصول على عمل، فكن واعيًا ولا تفصح عن هذه البيانات ما لم يكن ذلك بطريقة نظامية وفي منصة رسمية معتمدة من الدولة، حتى لا يتم استغلال بياناتك في أغراض أخرى.,Governmental
moe,"عزيزي الطالب/ الطالبة: أبلغ المعلم أو المعلمة مباشرة في حال اشتباهك بأي سلوك مريب أثناء الدرس مثل دخول أشخاص من خارج الفصل أو نشر محتوى غير مناسب.

Dear student,
Inform your teacher immediately when you notice suspicious behavior during the online lesson such as an unknown person entering the classroom or publishing inappropriate content.",Governmental
civildef,تحت شعار (يد تبني ويد تحمي ) تحتفل المديرية العامة للدفاع المدني باليوم العالمي للدفاع المدني في الأول من مارس لهذا العام 2021 وتتمنى لكم السلامة دائماً,Governmental
mawarid,"تم إستلام شكوى  تحت رقم CASE-

الموارد تهتم بخدمتك",Commercial
mawarid,"عميلنا العزيز/
انفاذاً لتعليمات الجهات المختصة، الرجاء الالتزام وتحميل تطبيق (توكلنا) قبل تنفيذ زياراتكم مع خدمة همة بنظام الساعة.

لسلامة الجميع ... نتعاون ما نتهاون",Services
dr.alhabib,"شكرا لاختياركم مستشفى الدكتور سليمان الحبيب بالريان ,نفيدكم علما بأن خدمتكم في عيادة الاسنان قد تمت الموافقة عليها من قبل شركة التأمين",Health
moh,"تقلّ الحالات، ويزداد التعافي.. 
عندما نلتزم جميعًا بالاحترازات الوقائيّة، التي تُساعدنا على تجاوز الوباء -بإذن الله-.
وزارة الصحة 
 Infection cases decrease, and recovery cases increase…
When we all adhere to the preventive measures that help us overcome this epidemic.
- MOH",Governmental
