Sender,Message Content,Category,Priority
maharah co.,لفتره محدوده خصم 10 علي خدمه العماله المنزليه بنظام الاشهر من افريقيا,Promotional,Low Priority
stc,عميلنا العزيز تم اكتشاف عطل فني علي هاتفكم رقم112491449 وتمت معالجته ونعتذر عن اي خلل قد تسبب فيه سابقا,Telecommunications,High Priority
stc,عميلنا العزيز نتشرف بخدمتكم ونفيدكم بانه تم قبول طلبكم 1 1277972675020 ونقوم حاليا بمعالجته وسوف يتم ابلاغكم بتنفيذ طلبكم يرجي انتظار التاكيد من stc قبل استعمال المنتج,Telecommunications,High Priority
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0259738,Commercial,Medium Priority
alrajhibank,عزيزتنا عميله التميز نهنئكم بعيد الاضحي المبارك وكل عام وانتم بخير,Promotional,Low Priority
900,تقبل الله منا ومنك الطاعات زينب وكل عام وانت بخير,Promotional,Low Priority
mawarid,عملينا العزيز زيارتك في الطريق اليك الان برجاء التجهيز لاستقبال الخدمه,Services,
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0265231,Commercial,Medium Priority
mawarid,عميلتا العزيز نشكرك علي اهتمامك و نرجو ان تنال جميع الزيارات القادمه علي نفس درجه من الرضا الموارد نهتم بخدمتك,Services,
mawarid,Dear customer thank you for your feedback and we hope the all future visits take the same level of satisfaction Mawarid Always Cares,Services,
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0268793,Commercial,Medium Priority
sigal,الرجاء احضار بطاقه الهويه كرت العائله وبطاقه التامين عند الحضور للموعد,Health,
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0270941,Commercial,Medium Priority
sigal,بناء علي طلبكم تم الغاء موعدكم مع عياده تنظيف 104,Health,
alrajhibank,الان يمكنك الحصول علي تمويل شخصي اكبر بهامش ربح اقل بسرعه وبكل سهوله بدون رسوم اداريه عبر تطبيق الراجحي موبايل,Promotional,Low Priority
mawarid,عميلنا العزيز تم استلام مبلغ 118 45 عن طريق سداد و ذلك علي عقد رقم RH0278017,Commercial,Medium Priority
smasco,Marhabtain We would like to inform you we are nearby to do a visit,Services,
mawarid,عميلنا العزيز تم استلام مبلغ 92 00 عن طريق سداد و ذلك علي عقد رقم RH0284013,Commercial,Medium Priority
mawarid,عميلنا العزيز تم استلام مبلغ 109 25 عن طريق سداد و ذلك علي عقد رقم RH0284032,Commercial,Medium Priority
dr.alhabib,بناء علي طلبكم تم الغاء موعدكم مع د غالب الامير,Health,
